ico_name,ticker,platform,token,country,hardcap,softcap,raised,ih_hardcap,ih_softcap,ih_raised,bounty_status,activy_status,twitter_status,bitcointalk_status,telegram_status,social_rating,profile_rating,team_rating_ib,team_rating_im,product_rating,vision_rating,icobench_rating,icomarks_rating,icobazaar_rating,aggregate_rating,date_ended
MyEtherPony,DKL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30000000,N/A,-,1,1,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2018-11-30
DEZOS,DOS,Ethereum,ERC20,Switzerland,N/A,N/A,N/A,9000000,100000,51,-,4,4,-,-,10,N/A,N/A,10,N/A,N/A,3.0,9.1,-,N/A,2018-12-31
Sparrow ICO,,N/A,N/A,N/A,N/A,N/A,N/A,1880000000,500000000,37,-,2,2,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,"Aug, 2018"
Palladium Token Magic,,N/A,N/A,N/A,N/A,N/A,N/A,14400000,100000,N/A,-,1,1,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2018-10-31
CannAvenue,CANA,Ethereum,ERC20,Canada,N/A,N/A,N/A,N/A,N/A,N/A,-,1,1,-,-,3,N/A,N/A,9,N/A,N/A,3.3,5.8,-,N/A,2018-12-26
USDX Wallet,USDX,N/A,N/A,N/A,500000000,N/A,N/A,N/A,N/A,N/A,-,5,5,-,-,N/A,Benchy,N/A,N/A,N/A,N/A,3.2,7.6,-,3.2,2018-12-31
Sparrow ICO,,N/A,N/A,N/A,N/A,N/A,N/A,1880000000,500000000,37,-,2,2,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,"Aug, 2018"
USDX Wallet,USDX,N/A,N/A,N/A,500000000,N/A,N/A,N/A,N/A,N/A,-,5,5,-,-,N/A,Benchy,N/A,N/A,N/A,N/A,3.2,7.6,-,3.2,2018-12-31
iCumulate,ICU,Ethereum,ERC20,Gibraltar,23500000,2500000,,N/A,N/A,N/A,-,1,1,-,-,5,Benchy,N/A,10,N/A,N/A,3.4,7.9,-,3.4,2018-12-30
Fluid,FLUID,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,1,1,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,"Aug, 2018"
Brunocoin,BRN,N/A,N/A,N/A,N/A,N/A,N/A,1000000000,300000000,N/A,-,1,1,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2018-12-31
IOU,,N/A,N/A,N/A,N/A,N/A,11700000,N/A,N/A,N/A,-,-,-,-,-,N/A,Benchy,4.8,N/A,3.8,4.6,-,-,-,4.2,2018-09-18
Airdrop United,UTD,N/A,N/A,N/A,"252,000 NEO","30,000 NEO",,N/A,N/A,N/A,-,4,4,-,-,N/A,Benchy,N/A,N/A,N/A,N/A,-,-,-,2.7,2018-11-22
SILKROAD,SLK,Waves,Utility,Estonia,N/A,N/A,N/A,N/A,N/A,N/A,-,1,1,-,-,8,N/A,N/A,6,N/A,N/A,N/A,N/A,-,N/A,2018-10-22
Brickchain,BSC,Ethereum,ERC20,UK,649975,N/A,,N/A,400000000,N/A,-,-,-,-,-,5,Benchy,3.0,10,3.0,3.0,3.3,7.2,-,3.3,2018-12-13
PLAAS,PLS,Ethereum,ERC20,N/A,15076000,2204400,N/A,220440000,50000000,N/A,-,3,3,-,-,9,Benchy,N/A,8,N/A,N/A,2.4,7.5,-,2.4,2018-12-30
EZOOW,EZW,N/A,N/A,N/A,N/A,N/A,N/A,35000,18000,N/A,-,1,1,-,-,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A,2018-11-01
Lyfe,,Ethereum,ERC20,Singapore,"5,250,000,000","4,000,000,000",3000000,N/A,N/A,N/A,-,2,2,-,-,7,Benchy,3.1,10,3.4,3.2,-,-,-,3.5,2018-11-09
Bitsrent,BTR,N/A,N/A,N/A,N/A,N/A,N/A,2000000000,300000000,N/A,-,3,3,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2018-12-16
Bartercoin (BART),BART,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,1,1,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2018-03-19
Platinum Project,PTCO,N/A,N/A,N/A,N/A,N/A,N/A,2000000000,200000000,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2018-05-31
Smart League,POD,N/A,N/A,N/A,16000000,N/A,,N/A,N/A,N/A,-,1,1,-,-,N/A,Benchy,N/A,N/A,N/A,N/A,3.2,5.9,-,3.2,2018-12-08
CoinFast,CFS,Ethereum,ERC20,Turkey,1000000,250000,N/A,N/A,25000,20,-,-,-,-,-,8,Benchy,N/A,9,N/A,N/A,2.9,8.4,-,2.9,2018-12-31
ODDS,ODDS,Proprietary,ERC20,USA,"500,000,000",N/A,N/A,N/A,N/A,N/A,-,2,2,-,-,6,Benchy,N/A,10,N/A,N/A,3.3,7.0,-,3.3,2018-12-31
SHIPNEXT,SHPC,Ethereum,ERC20,Singapore,N/A,N/A,N/A,N/A,N/A,N/A,-,2,2,-,-,5,N/A,N/A,8,N/A,N/A,2.9,6.5,-,N/A,2018-11-27
Melior AI,MEL,N/A,N/A,N/A,20000000,5000000,,N/A,N/A,N/A,-,2,2,-,-,N/A,Benchy,N/A,N/A,N/A,N/A,3.3,7.6,-,3.3,2018-12-15
CTR,XCTR,N/A,N/A,N/A,"15,000,000 ","7,000,000 ",,N/A,N/A,N/A,-,1,1,-,-,N/A,Benchy,N/A,N/A,N/A,N/A,3.2,4.9,-,3.2,2018-12-31
Toqqn,TQN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A,2018-09-30
Cubiex,,Ethereum,ERC-20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,5,5,-,-,9,N/A,N/A,10,N/A,N/A,-,-,-,N/A,2018-12-31
CyberLottery,LOT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,1,1,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2018-12-11
Cubiex,,Ethereum,ERC-20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,5,5,-,-,9,N/A,N/A,10,N/A,N/A,-,-,-,N/A,2018-12-31
Beer Money,BEER,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A,2018-11-15
Sentinel Protocol,UPP,N/A,N/A,N/A,N/A,N/A,4446000,N/A,N/A,100,-,-,-,-,-,N/A,Benchy,N/A,N/A,N/A,N/A,-,-,-,3.3,"Apr, 2018"
DAOstack ICO,GEN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3000000000,N/A,-,4,4,-,-,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A,2018-05-22
MEDIA Protocol,MPT,N/A,N/A,N/A,15000000,N/A,N/A,N/A,N/A,N/A,-,4,4,-,-,N/A,Benchy,N/A,N/A,N/A,N/A,3.0,7.2,-,3.0,"Jun, 2018"
myCoinvest,CVZT,N/A,N/A,N/A,N/A,N/A,N/A,500000000,200000000,1,-,3,3,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2018-12-21
DAOstack ICO,GEN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3000000000,N/A,-,4,4,-,-,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A,2018-05-22
myCoinvest,CVZT,N/A,N/A,N/A,N/A,N/A,N/A,500000000,200000000,1,-,3,3,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2018-12-21
The Government Network,GOVT,N/A,N/A,N/A,45000000,3000000,,N/A,N/A,N/A,-,-,-,-,-,N/A,Benchy,N/A,N/A,N/A,N/A,2.4,8.1,-,2.4,2018-11-30
AgaveCoin,AGVC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,3,3,-,-,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A,2018-12-31
KamaGames,KGT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,4,4,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2018-11-12
Booleancoin,BOOL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2018-06-01
SpryOne,SPRY,Ethereum,ERC20,Cayman Islands,14000000,2000000,,N/A,N/A,N/A,-,-,-,-,-,7,Benchy,4.0,10,5.0,5.0,2.6,7.1,-,2.6,2018-12-16
Smart Gear,GEAR,N/A,N/A,N/A,N/A,N/A,N/A,300000000,10000000,N/A,-,1,1,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,"Nov, 2018"
Blok.Trade,BLKTT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,500000000,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2018-12-12
Local Remit,LRT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,1,1,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2018-10-30
Ethbay ICO,ETHBAY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2018-08-07
Crypto Noda,CNOD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,1,1,-,-,N/A,N/A,N/A,N/A,N/A,N/A,2.7,6.0,-,N/A,2018-11-30
TravelNote,TVNT,N/A,N/A,N/A,1500,500,200000,N/A,N/A,N/A,-,3,3,-,-,N/A,Benchy,N/A,N/A,N/A,N/A,-,-,-,3.0,"Dec, 2018"
Miacoin,MIAC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,1,1,-,-,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A,2018-04-15
BitRich,BTH,N/A,N/A,N/A,N/A,N/A,N/A,10000000,10000000,N/A,-,4,4,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2018-11-24
I RECOGNIZED,IREC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,"Apr, 2018"
BlocSide (MVP),,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2018-04-30
EveryCoin,EYC,N/A,N/A,N/A,246100,19000,4000000,N/A,N/A,N/A,-,3,3,-,-,N/A,Benchy,N/A,N/A,N/A,N/A,-,-,-,2.9,2018-12-25
Pumpkin,PMK,Ethereum,ERC20,Singapore,22223,6666,,N/A,N/A,N/A,-,-,-,-,-,9,Benchy,N/A,10,N/A,N/A,2.9,8.6,-,2.9,"Oct, 2018"
BitcoinBing,BING,Ethereum,ERC20,Canada,N/A,N/A,,N/A,N/A,N/A,-,1,1,-,-,9,Benchy,5.0,10,4.0,5.0,2.4,8.1,-,2.4,2018-11-14
Vidfish Powered By VUO Coin,VUO,N/A,N/A,N/A,N/A,N/A,N/A,5000000000,5000000000,0,-,1,1,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2018-11-30
WHIRL,WRL,Ethereum,ERC20,Malta,30000000,50000,,N/A,N/A,N/A,-,3,3,-,-,8,Benchy,N/A,10,N/A,N/A,2.7,8.3,-,2.7,2018-12-25
Sound Legends,SLC,N/A,N/A,N/A,19000000,3500000,,N/A,N/A,N/A,-,1,1,-,-,N/A,Benchy,N/A,N/A,N/A,N/A,3.0,5.5,-,3.0,2018-01-15
Lesfex,LFX,N/A,N/A,N/A,N/A,N/A,N/A,5000000000,500000000,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2018-11-30
WinMiner,,Ethereum,ERC20,UK,30000000,5000000,,3000000000,500000000,21,-,2,2,-,-,3,Benchy,N/A,9,N/A,N/A,2.7,6.1,-,2.7,2018-12-31
Node-X,NODX,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2018-07-11
Gallactic,,Ethereum,ERC20,Singapore,100000000,N/A,,N/A,N/A,N/A,-,-,-,-,-,9,Benchy,N/A,1,N/A,N/A,3.2,6.1,3.6,3.2,2018-11-29
TEMPO,,N/A,N/A,N/A,"7,000,000 ","300,000 ",N/A,N/A,N/A,N/A,-,3,3,-,-,N/A,Benchy,N/A,N/A,N/A,N/A,2.6,9.0,-,2.6,2018-12-30
The STONE COIN,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A,2018-10-30
Lendxcoin,XCOIN,Ethereum,ERC20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,2,2,-,-,8,N/A,N/A,1,N/A,N/A,N/A,5.9,-,N/A,2018-12-01
Fast Access Blockchain ICO,FAB,N/A,N/A,N/A,N/A,N/A,N/A,4000000000,2000000000,N/A,-,2,2,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2018-05-25
Posya,POS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,1,1,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2018-10-31
Lendxcoin,XCOIN,Ethereum,ERC20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,2,2,-,-,8,N/A,N/A,1,N/A,N/A,N/A,5.9,-,N/A,2018-12-01
Enzed Share,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,1,1,-,-,N/A,N/A,N/A,N/A,N/A,N/A,3.2,2.8,-,N/A,2018-11-30
WAXEX,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,2,2,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2018-03-31
