ico_name,ticker,platform,token,country,hardcap,softcap,raised,ih_hardcap,ih_softcap,ih_raised,bounty_status,activy_status,twitter_status,bitcointalk_status,telegram_status,social_rating,profile_rating,team_rating_ib,team_rating_im,product_rating,vision_rating,icobench_rating,icomarks_rating,icobazaar_rating,aggregate_rating,date_ended
DECOIN,,Ethereum,ERC20,Ukraine,40080 ETH,N/A,,N/A,N/A,100%,VERY HIGH,-,-,-,-,1,Benchy,3.4,9,2.4,3.0,4.1,9.3,-,2.5,2018-12-31
Multiversum,MTV,Ethereum,ERC20,Belarus,35000000 USD,5000000 USD,21403270 USD,6500000000,3500000000 USD,62%,HIGH,HIGH,HIGH,-,-,10,Benchy,3.6,10,3.4,3.5,3.6,9.8,4.4,3.6,2018-06-10
CoinJanitor,JAN,Ethereum,ERC20,Cyprus,7500000 USD,N/A,2500000 USD,N/A,750000000 USD,33%,HIGH,LOW,LOW,-,-,7,Benchy,4.6,4,4.4,5.0,-,-,-,4.3,2018-05-31
Tradelize,TDZ,Ethereum,ERC20,Georgia,30000000 USD,N/A,,N/A,N/A,N/A,HIGH,-,-,-,-,7,Benchy,4.5,10,4.3,4.7,4.4,8.1,-,4.4,2018-08-31
n'cloud.swiss,NCU,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6537000000 USD,N/A,LOW,LOW,LOW,-,-,N/A,N/A,N/A,N/A,N/A,N/A,2.9,7.4,-,N/A,2018-07-08
Payportal,,Ethereum,ERC20,India,24000 ETH,3000 ETH,,960000000,960000000 USD,N/A,VERY HIGH,LOW,LOW,-,-,8,Benchy,N/A,10,N/A,N/A,3.3,8.8,-,3.3,"Jul, 2018"
DECOIN,,Ethereum,ERC20,Ukraine,40080 ETH,N/A,,N/A,N/A,100%,VERY HIGH,-,-,-,-,1,Benchy,3.4,9,2.4,3.0,4.1,9.3,-,2.5,2018-12-31
Cosplay Token ICO,COT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,500000 ETH,N/A,VERY HIGH,VERY LOW,VERY LOW,-,-,N/A,N/A,N/A,N/A,N/A,N/A,2.9,9.3,-,N/A,2018-09-01
Safein,SFN,Ethereum,ERC20,Lithuania,21000000 USD,3000000 USD,N/A,2100000000,300000000 USD,N/A,VERY HIGH,-,-,-,-,9,Benchy,3.4,10,3.7,3.9,3.7,9.3,4.5,3.7,2018-06-30
AirPod ICO,APOD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,VERY HIGH,MEDIUM,MEDIUM,-,-,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A,2018-11-29
Verasity,,N/A,N/A,N/A,25000000 USD,4000000 USD,4000000 USD,N/A,1250000000 USD,374%,VERY HIGH,VERY HIGH,VERY HIGH,-,-,N/A,Benchy,4.6,N/A,4.1,4.1,-,-,-,4.3,2018-06-30
CargoCoin,CRGO,Ethereum,ERC223/ERC20,UK,N/A,N/A,N/A,1000000000,500000000 USD,24%,HIGH,LOW,LOW,-,-,9,N/A,N/A,10,N/A,N/A,4.0,9.0,-,N/A,2018-12-31
EtherInc,ETI,N/A,N/A,N/A,22000000 USD,1000000 USD,,N/A,N/A,N/A,VERY HIGH,HIGH,HIGH,-,-,N/A,Benchy,4.3,N/A,4.0,4.8,-,-,-,4.3,2018-09-06
LendsBay,LBT,Ethereum,ERC20,Russia,1500000 USD,250000 USD,,150000000,50000000 USD,26%,-,HIGH,HIGH,-,-,8,Benchy,2.8,10,2.7,3.2,3.4,9.1,-,3.4,2018-07-29
