ico_name,ticker,platform,token,country,hardcap,softcap,raised,bounty_status,activy_status,twitter_status,bitcointalk_status,telegram_status,social_rating,profile_rating,team_rating_ib,team_rating_im,product_rating,vision_rating,icobench_rating,icomarks_rating,icobazaar_rating,aggregate_rating,ih_end_date

Exodius,EXO,Waves,Waves,French Polynesia,5325000 USD,N/A,Unknown,N/A,N/A,N/A,-,LOW,LOW,VERY LOW,VERY LOW,6,Benchy,N/A,10,N/A,N/A,2.7,7.2,-,2.7,2018-11-17
FIC,FIC,N/A,N/A,N/A,125000000 USD,35000000 USD,1224803 USD,N/A,N/A,N/A,-,-,-,-,-,N/A,Benchy,N/A,N/A,N/A,N/A,3.0,8.4,2.7,3.0,2018-04-09
Bronix ICO,BRNX,N/A,N/A,N/A,30000000 USD,5000000 USD,Unknown,N/A,N/A,N/A,MEDIUM,-,-,-,-,N/A,Benchy,2.2,N/A,2.2,1.6,2.7,5.9,2.7,2.7,2018-08-26
Crystium,CRY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2018-07-04
Multigames,MULT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2100000,37%,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.8,2.8,N/A,2018-03-28
Data Trading,DTT,N/A,N/A,N/A,26000000 USD,5000000 USD,579360419905500000470657300000 ETH,1250000000,500000000,52%,MEDIUM,VERY LOW,VERY LOW,-,-,N/A,Benchy,N/A,N/A,N/A,N/A,2.7,6.7,1.6,2.7,2018-02-22
Olife,,N/A,N/A,N/A,172500000 USD,20000000 USD,20000000 USD,17550000000,2000000000,11%,-,MEDIUM,MEDIUM,-,LOW,N/A,Benchy,N/A,N/A,N/A,N/A,2.6,6.1,-,2.6,2018-11-04
Monarch Token,MT/MTS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,VERY LOW,VERY LOW,-,MEDIUM,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A,2018-09-15
ICOStart ICO,ICH,N/A,N/A,N/A,N/A,N/A,N/A,100000000,20000000,28%,LOW,VERY LOW,VERY LOW,-,-,N/A,N/A,N/A,N/A,N/A,N/A,2.8,8.4,-,N/A,2018-08-23
YuTu.Coin,YTC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,LOW,LOW,VERY HIGH,VERY LOW,N/A,N/A,N/A,N/A,N/A,N/A,2.3,6.7,-,N/A,2018-10-07
ICOStart ICO,ICH,N/A,N/A,N/A,N/A,N/A,N/A,100000000,20000000,28%,LOW,VERY LOW,VERY LOW,-,-,N/A,N/A,N/A,N/A,N/A,N/A,2.8,8.4,-,N/A,2018-08-23
DCentral Capital,JST1,N/A,N/A,N/A,96250 ETH,62500 ETH,Unknown,7700000000,7700000000,N/A,-,VERY LOW,VERY LOW,-,-,N/A,Benchy,N/A,N/A,N/A,N/A,2.7,5.5,-,2.7,2018-11-12
Hush,USH,Ethereum,ERC20,Luxembourg,1,000,000 EUR,N/A,Unknown,N/A,N/A,N/A,VERY LOW,-,-,-,-,8,Benchy,1.4,9,1.2,2.0,2.7,7.4,2.3,2.3,2018-05-22
LikenCo,LNC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,VERY LOW,VERY LOW,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2018-07-01
Brick ICO,BRK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,VERY LOW,VERY LOW,N/A,N/A,N/A,N/A,N/A,N/A,2.7,7.6,-,N/A,Dec, 2018
Brick ICO,BRK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,VERY LOW,VERY LOW,N/A,N/A,N/A,N/A,N/A,N/A,2.7,7.6,-,N/A,Dec, 2018
Golden Fleece ICO,GFL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100%,-,VERY LOW,VERY LOW,-,-,N/A,N/A,N/A,N/A,N/A,N/A,2.3,7.2,3.1,N/A,2018-03-31
Blockchain E-mail Token (PreICO),BMLT,N/A,N/A,N/A,N/A,N/A,N/A,100000000,1700000000,N/A,LOW,VERY LOW,VERY LOW,-,-,N/A,N/A,N/A,N/A,N/A,N/A,2.3,3.8,-,N/A,2018-01-26
LemoChain ICO,LEMO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100%,VERY LOW,MEDIUM,MEDIUM,-,LOW,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A,2018-03-31
TREEEC MONEY,,N/A,N/A,N/A,N/A,10000000 USD,20950828 USD,N/A,120000000000,0%,-,LOW,LOW,-,-,N/A,Benchy,N/A,N/A,N/A,N/A,2.2,5.1,-,2.2,2018-07-15
ClickGem,CGM,Scrypt,6,000,000 CGM (20%),Belize,N/A,N/A,12240000 USD,N/A,N/A,N/A,-,-,-,-,-,8,Benchy,1.0,1,1.3,1.3,1.3,4.9,2.1,1.3,2018-03-12
TREEEC MONEY,,N/A,N/A,N/A,N/A,10000000 USD,20950828 USD,N/A,120000000000,0%,-,LOW,LOW,-,-,N/A,Benchy,N/A,N/A,N/A,N/A,2.2,5.1,-,2.2,2018-07-15
ClearCoin,XCLR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100%,VERY LOW,HIGH,HIGH,-,VERY LOW,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A,2018-03-31
HELIXHILL,HILL,Ethereum,ERC20,Estonia,N/A,N/A,N/A,N/A,N/A,N/A,VERY HIGH,VERY LOW,VERY LOW,-,-,6,N/A,N/A,9,N/A,N/A,2.3,7.9,-,N/A,2018-11-30
