ico_name,ticker,platform,token,country,hardcap,softcap,raised,bounty_status,activy_status,twitter_status,bitcointalk_status,telegram_status,social_rating,profile_rating,team_rating_ib,team_rating_im,product_rating,vision_rating,icobench_rating,icomarks_rating,icobazaar_rating,aggregate_rating
COPYTRACK,CPY,N/A,N/A,N/A,N/A,N/A,17470740 USD,VERY HIGH,-,-,-,-,N/A,Benchy,4.1,N/A,4.2,4.3,-,-,-,3.4
Spheroid Universe,,N/A,N/A,N/A,N/A,N/A,N/A,-,VERY HIGH,VERY HIGH,-,VERY HIGH,N/A,Benchy,N/A,N/A,N/A,N/A,-,-,-,2.7
The Rouge Project,RGE,N/A,N/A,N/A,N/A,N/A,N/A,MEDIUM,LOW,LOW,-,-,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A
COPYTRACK,CPY,N/A,N/A,N/A,N/A,N/A,17470740 USD,VERY HIGH,-,-,-,-,N/A,Benchy,4.1,N/A,4.2,4.3,-,-,-,3.4
Kryll.io,KRL,N/A,N/A,N/A,29000000 USD,N/A,2200000 USD,VERY HIGH,VERY HIGH,VERY HIGH,-,MEDIUM,N/A,Benchy,4.4,N/A,2.0,1.6,-,-,-,3.0
CryptoSecure ICO,,N/A,N/A,N/A,N/A,N/A,N/A,-,VERY LOW,VERY LOW,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A
Cher Ecocity,,N/A,N/A,N/A,N/A,N/A,N/A,LOW,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A
CloudBounce,DB,N/A,N/A,N/A,N/A,N/A,N/A,-,MEDIUM,MEDIUM,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A
Golden Currency,IGCT,N/A,N/A,N/A,N/A,40000 USD,N/A,VERY HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,N/A,Benchy,4.4,N/A,4.2,5.0,4.0,8.3,-,4.0
FrYA,FRYA,N/A,N/A,N/A,N/A,N/A,N/A,-,VERY LOW,VERY LOW,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A
Quarteria,XQT,N/A,N/A,Switzerland,N/A,N/A,N/A,VERY LOW,-,-,VERY LOW,LOW,9,Benchy,N/A,10,N/A,N/A,-,-,-,2.8
Blocnation,BNTN,Komodo,"Available for sale:200,000,000 BNTN (40%)",Philippines,32500000 USD,N/A,N/A,-,-,-,-,-,7,Benchy,N/A,10,N/A,N/A,2.9,7.6,-,2.9
Crypto Open Search,COS,N/A,N/A,N/A,N/A,N/A,N/A,-,VERY LOW,VERY LOW,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A
PixelAlpha ICO,PXA,N/A,N/A,N/A,N/A,N/A,N/A,-,VERY LOW,VERY LOW,-,VERY LOW,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A
Live Video Xchange (LVX),LVX,N/A,N/A,N/A,N/A,N/A,N/A,-,VERY LOW,VERY LOW,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A
HyperQuant,HQT,N/A,N/A,N/A,N/A,N/A,N/A,VERY HIGH,LOW,LOW,-,-,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A
UberPro ICO,UBER,N/A,N/A,N/A,N/A,N/A,N/A,LOW,VERY LOW,VERY LOW,LOW,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A
DDToken (DDToken),DT,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,2.2,4.1,-,N/A
carboneum,C8,N/A,N/A,N/A,12000000 USD,1200000 USD,6337157 USD,VERY LOW,-,-,VERY LOW,VERY LOW,N/A,Benchy,5.0,N/A,5.0,5.0,-,-,-,4.0
ÍBERA,IBR,N/A,N/A,N/A,N/A,N/A,N/A,-,VERY LOW,VERY LOW,VERY LOW,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A
Loyela,,N/A,N/A,N/A,N/A,N/A,N/A,-,VERY LOW,VERY LOW,MEDIUM,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A
Enkronos,ENK,Ethereum,ERC20,Slovenia,400000 ETH,2500 ETH,12600000 USD,-,MEDIUM,MEDIUM,-,-,8,Benchy,3.3,9,2.3,2.5,-,-,-,3.0
WorldCloud,WRLD,N/A,N/A,N/A,N/A,N/A,N/A,-,VERY LOW,VERY LOW,VERY LOW,VERY LOW,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A
BMF,BMF,Ethereum,ERC20,Bosnia and Herzegovina,N/A,N/A,N/A,-,VERY LOW,VERY LOW,VERY LOW,VERY LOW,8,N/A,N/A,10,N/A,N/A,N/A,N/A,-,N/A
REPORTER / News Token,NEWS,N/A,N/A,N/A,N/A,N/A,N/A,-,HIGH,HIGH,-,-,N/A,N/A,N/A,N/A,N/A,N/A,3.6,7.4,4.0,N/A
Trial Token,TRIAL TOKEN,N/A,N/A,N/A,N/A,N/A,Unknown,VERY LOW,MEDIUM,MEDIUM,VERY LOW,MEDIUM,N/A,Benchy,N/A,N/A,N/A,N/A,2.8,5.4,2.4,2.8
UFAN8,UFAN8,Ethereum,ERC-20,N/A,N/A,N/A,N/A,HIGH,-,-,HIGH,-,1,N/A,N/A,10,N/A,N/A,N/A,5.1,-,N/A
Assendelft,(WALUT) W156648,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,2.3,4.5,-,N/A
AIDA Service,,N/A,N/A,N/A,N/A,N/A,N/A,MEDIUM,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,2.7,9.1,4.0,N/A
FortKnoxster,FKX,Ethereum,ERC-20,Gibraltar,15000000 USD,N/A,15000000 USD,VERY HIGH,HIGH,HIGH,-,HIGH,8,Benchy,3.9,8,3.1,3.1,-,-,-,3.5
CoinHealth,CH,Waves,ERC20,USA,"305,000,000","6,000,000",7000000 USD,-,-,-,-,-,9,Benchy,4.2,10,3.9,4.1,3.5,8.6,3.4,3.5
The Fabric Token Ecosystem,FT,N/A,N/A,N/A,N/A,N/A,N/A,VERY HIGH,-,-,-,VERY LOW,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A
HODLER.TECH,HDL,N/A,N/A,N/A,N/A,N/A,N/A,-,VERY LOW,VERY LOW,MEDIUM,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A
BiNeuro,,Ethereum,ERC20,UK,47000 ETH,N/A,N/A,VERY HIGH,VERY LOW,VERY LOW,MEDIUM,-,6,Benchy,3.4,10,3.8,4.1,3.8,8.1,-,3.8
Museums Chain,MSM,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,VERY LOW,VERY LOW,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A
FortKnoxster,FKX,Ethereum,ERC-20,Gibraltar,15000000 USD,N/A,15000000 USD,VERY HIGH,HIGH,HIGH,-,HIGH,8,Benchy,3.9,8,3.1,3.1,-,-,-,3.5
CoinHealth,CH,Waves,ERC20,USA,"305,000,000","6,000,000",7000000 USD,-,-,-,-,-,9,Benchy,4.2,10,3.9,4.1,3.5,8.6,3.4,3.5
HODLER.TECH,HDL,N/A,N/A,N/A,N/A,N/A,N/A,-,VERY LOW,VERY LOW,MEDIUM,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A
STK,STK,N/A,N/A,N/A,321430 ETH,3600 ETH,17000000 USD,VERY HIGH,HIGH,HIGH,-,LOW,N/A,Benchy,2.0,N/A,2.0,4.0,-,-,-,2.6
Bank4YOU Group,BFY,N/A,N/A,N/A,N/A,N/A,N/A,MEDIUM,LOW,LOW,-,-,N/A,N/A,N/A,N/A,N/A,N/A,3.1,7.9,4.2,N/A
Patriot Project Mall ICO,PPMT,N/A,N/A,N/A,N/A,N/A,N/A,LOW,VERY LOW,VERY LOW,LOW,-,N/A,N/A,N/A,N/A,N/A,N/A,1.8,3.0,1.9,N/A
MonsterBit ICO,MB,N/A,N/A,N/A,N/A,N/A,N/A,MEDIUM,-,-,MEDIUM,-,N/A,N/A,N/A,N/A,N/A,N/A,2.8,7.5,2.8,N/A
Root Blockchain,RBC,N/A,N/A,N/A,30000000 USD,1000000 USD,1000000 USD,MEDIUM,VERY HIGH,VERY HIGH,-,VERY LOW,N/A,Benchy,3.8,N/A,4.3,4.7,4.2,9.0,-,4.2
STAY,STAY,Ethereum,ERC20,Indonesia,"30,000,000","2,000,000",Unknown,-,LOW,LOW,-,-,6,Benchy,4.0,10,4.0,5.0,3.6,7.4,-,3.6
Chozun,,Ethereum,ERC20,Australia,N/A,N/A,N/A,-,MEDIUM,MEDIUM,LOW,-,8,Benchy,N/A,8,N/A,N/A,2.8,7.5,-,2.8
RepuX ICO,REPUX,N/A,N/A,N/A,N/A,N/A,N/A,VERY HIGH,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A
RepuX ICO,REPUX,N/A,N/A,N/A,N/A,N/A,N/A,VERY HIGH,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A
Sphere Social,SAT,N/A,N/A,N/A,40000000 USD,1500000 USD,15000000 USD,MEDIUM,HIGH,HIGH,MEDIUM,MEDIUM,N/A,Benchy,3.0,N/A,4.0,1.0,-,-,-,3.1
AdultCam,ACI,Ethereum,ERC20,Czechia,20000 ETH,N/A,Unknown,-,VERY LOW,VERY LOW,VERY LOW,-,1,Benchy,3.0,10,2.0,2.0,2.3,5.5,-,2.3
Pointium,,Ethereum,ERC20,Switzerland,"56,000,000","5,000,000",1987132 USD,LOW,HIGH,HIGH,LOW,LOW,8,Benchy,N/A,1,N/A,N/A,2.9,6.6,-,2.9
Find.Exchange (FEX),FEX,N/A,N/A,N/A,N/A,N/A,N/A,-,HIGH,HIGH,-,-,N/A,N/A,N/A,N/A,N/A,N/A,2.9,8.6,-,N/A
Nkor ICO,,N/A,N/A,N/A,N/A,N/A,N/A,-,VERY HIGH,VERY HIGH,-,LOW,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A
Cryptolux,CLX,Ethereum,ERC-20,UK,N/A,N/A,N/A,LOW,MEDIUM,MEDIUM,LOW,-,10,Benchy,N/A,1,N/A,N/A,-,-,-,2.2
Caerus Connections,CAER,N/A,N/A,N/A,25000 ETH,5000 ETH,Unknown,-,HIGH,HIGH,VERY HIGH,LOW,N/A,Benchy,2.0,N/A,2.0,3.0,2.6,5.8,-,2.6
World Peace Coin,WPC,N/A,N/A,N/A,N/A,N/A,4204490 USD,MEDIUM,HIGH,HIGH,-,VERY LOW,N/A,Benchy,3.2,N/A,3.2,3.8,3.4,5.2,2.4,3.4
BETEX,BETEX,Ethereum,ERC20,Hong Kong,9000000 USD,1000000 USD,10233480 USD,HIGH,LOW,LOW,-,LOW,7,Benchy,4.3,10,4.3,4.6,-,-,-,3.8
Nkor ICO,,N/A,N/A,N/A,N/A,N/A,N/A,-,VERY HIGH,VERY HIGH,-,LOW,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A
TrustedHealth,TDH,Ethereum,ERC20,UK,7500 ETH,1000 ETH,1250000 USD,LOW,-,-,LOW,VERY LOW,9,Benchy,4.4,7,3.9,4.2,-,-,-,3.4
ufoodo,UFT,Ethereum,ERC20,Germany,50000 ETH,3000 ETH,N/A,VERY HIGH,LOW,LOW,VERY LOW,-,6,Benchy,1.0,8,2.0,2.0,3.2,6.8,3.5,3.2
Stealthcrypto,QMN,Ethereum,"Available for sale:200,000,000 QMN (50%)",Gibraltar,100000000 USD,N/A,N/A,VERY HIGH,MEDIUM,MEDIUM,VERY HIGH,-,10,Benchy,N/A,8,N/A,N/A,2.6,8.4,-,2.6
Ip2pglobal,,N/A,N/A,N/A,N/A,N/A,N/A,-,MEDIUM,MEDIUM,-,MEDIUM,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A
Karuna Network,KARUNA,N/A,N/A,N/A,N/A,N/A,Unknown,-,VERY LOW,VERY LOW,-,VERY LOW,N/A,Benchy,N/A,N/A,N/A,N/A,2.9,5.5,-,2.9
Blue Whale,BWX,N/A,N/A,N/A,22500000 USD,15000000 USD,22700000 USD,VERY LOW,MEDIUM,MEDIUM,VERY LOW,-,N/A,Benchy,4.0,N/A,3.3,3.0,-,-,-,3.5
Naireum,NRT,Ethereum,ERC20,N/A,N/A,N/A,Unknown,-,VERY LOW,VERY LOW,-,VERY LOW,1,Benchy,N/A,1,N/A,N/A,2.3,2.8,-,2.3
Caerus Connections,CAER,N/A,N/A,N/A,25000 ETH,5000 ETH,Unknown,-,HIGH,HIGH,VERY HIGH,LOW,N/A,Benchy,2.0,N/A,2.0,3.0,2.6,5.8,-,2.6
HELIX Orange,HIX,N/A,N/A,N/A,"3,500,000,000","100,000,000",N/A,-,-,-,LOW,-,N/A,Benchy,5.0,N/A,4.0,5.0,4.2,7.9,-,4.2
Moonlite (PreICO),MNL,N/A,N/A,N/A,N/A,N/A,N/A,VERY HIGH,LOW,LOW,VERY HIGH,-,N/A,N/A,N/A,N/A,N/A,N/A,3.4,6.9,4.1,N/A
One Game,OGT,N/A,N/A,N/A,15000000 USD,4000000 USD,Unknown,VERY HIGH,MEDIUM,MEDIUM,VERY LOW,VERY LOW,N/A,Benchy,3.8,N/A,3.4,3.8,3.7,9.0,2.2,3.7
CLIMATECOIN,CO2,Ethereum,ERC20,USA,N/A,N/A,Unknown,VERY HIGH,MEDIUM,MEDIUM,-,-,7,Benchy,4.7,10,3.3,4.0,3.6,7.4,3.4,3.6
WYS TOKEN,WYS,N/A,N/A,N/A,N/A,N/A,N/A,LOW,LOW,LOW,-,-,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A
HoToKeN,RHTKN,Stellar,"Available for sale:3,000,000,000 HTKN (30%)",Thailand,50000000 USD,2000000 USD,27700000 USD,LOW,-,-,-,LOW,10,Benchy,4.2,10,4.6,4.2,-,-,-,3.6
Taylor ICO,TAY,N/A,N/A,N/A,N/A,N/A,N/A,-,MEDIUM,MEDIUM,-,-,N/A,N/A,N/A,N/A,N/A,N/A,3.2,9.8,4.0,N/A
Smoke,SMOKE,Bitshares,"Available for sale:122,282,995 SMOKE (50%)",Belize,1900000 USD,N/A,250000 USD,VERY HIGH,HIGH,HIGH,-,LOW,8,Benchy,2.7,10,2.6,2.3,2.8,8.3,3.1,2.8
Smart City Eco,SCE,N/A,N/A,N/A,12000000 USD,1200000 USD,Unknown,HIGH,LOW,LOW,-,VERY LOW,N/A,Benchy,4.6,N/A,3.9,4.0,3.9,7.2,3.9,3.9
OctoBit,OCTOBIT COIN,Ethereum,ERC-20,N/A,N/A,N/A,N/A,VERY HIGH,LOW,LOW,HIGH,VERY LOW,7,N/A,N/A,10,N/A,N/A,3.0,7.6,-,N/A
Cellrlab,CORC,N/A,N/A,N/A,N/A,N/A,N/A,VERY LOW,VERY LOW,VERY LOW,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A
TrustVerse,TVS,Ethereum,ERC20,Singapore,35000000 USD,N/A,Unknown,-,LOW,LOW,-,LOW,7,Benchy,3.7,5,2.7,3.1,-,-,-,3.2
Game Machine ICO,GMIT,N/A,N/A,N/A,N/A,N/A,N/A,-,LOW,LOW,-,-,N/A,N/A,N/A,N/A,N/A,N/A,3.4,8.5,3.9,N/A
Parsec Frontiers,PRSC,N/A,N/A,N/A,11459 ETH,3200 ETH,740554 USD,LOW,VERY HIGH,VERY HIGH,LOW,LOW,N/A,Benchy,4.0,N/A,4.0,2.0,3.1,8.6,3.5,3.1
Cellrlab,CORC,N/A,N/A,N/A,N/A,N/A,N/A,VERY LOW,VERY LOW,VERY LOW,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A
Gasfiles,,N/A,N/A,N/A,N/A,N/A,N/A,VERY HIGH,-,-,VERY HIGH,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A
SunMoney Token Sale,,N/A,N/A,N/A,N/A,N/A,N/A,VERY HIGH,MEDIUM,MEDIUM,MEDIUM,-,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A
BitGuild,PLAT,Ethereum,ERC20,Cayman Islands,140625 ETH,N/A,2147182 USD,VERY HIGH,VERY LOW,VERY LOW,VERY HIGH,-,9,Benchy,4.3,10,3.5,3.2,-,-,-,3.6
CoinOil,COIL,Ethereum,ERC20,USA,3500000 USD,120000000 USD,Unknown,-,-,-,-,-,6,Benchy,N/A,1,N/A,N/A,2.3,4.6,-,2.3
FITCASH,FTH,N/A,N/A,N/A,N/A,N/A,N/A,-,VERY LOW,VERY LOW,-,-,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A
TeamMate,,Ethereum,ERC223,N/A,15000000000 USD,N/A,N/A,-,VERY LOW,VERY LOW,-,VERY LOW,4,Benchy,4.0,8,4.7,4.5,3.2,5.9,-,3.2
Fenix Trade,FNX,N/A,N/A,N/A,N/A,N/A,N/A,-,VERY LOW,VERY LOW,VERY LOW,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A
TrustVerse,TVS,Ethereum,ERC20,Singapore,35000000 USD,N/A,Unknown,-,LOW,LOW,-,LOW,7,Benchy,3.7,5,2.7,3.1,-,-,-,3.2
VR MED,VRMD,N/A,N/A,N/A,5000000 USD,1000000 USD,Unknown,MEDIUM,VERY LOW,VERY LOW,-,-,N/A,Benchy,5.0,N/A,4.0,5.0,3.2,7.9,-,3.2
Save Environment Token,SET,N/A,N/A,N/A,N/A,"5,000,000",Unknown,-,VERY HIGH,VERY HIGH,LOW,LOW,N/A,Benchy,4.0,N/A,4.0,4.6,3.4,8.6,-,3.4
CrowdPrecision,,Ethereum,ERC20,Singapore,30000 ETH,7500 ETH,N/A,LOW,VERY LOW,VERY LOW,LOW,-,5,Benchy,5.0,10,2.0,4.0,3.4,7.7,-,3.4
Adbank,ADB,N/A,N/A,N/A,10000 ETH,N/A,15000000 USD,VERY HIGH,VERY HIGH,VERY HIGH,-,HIGH,N/A,Benchy,2.7,N/A,2.6,3.0,-,-,-,3.3
Sovrin,,N/A,N/A,N/A,N/A,N/A,N/A,-,HIGH,HIGH,-,-,8,Benchy,4.5,10,4.0,5.0,1.7,5.8,-,1.7
Lendroid,LST,N/A,N/A,N/A,5000 ETH,N/A,4045650500000000000 ETH,VERY HIGH,HIGH,HIGH,-,-,N/A,Benchy,N/A,N/A,N/A,N/A,-,-,-,2.4
OLXA,OLXA,N/A,N/A,N/A,3000000 USD,1000000 USD,141200 USD,HIGH,HIGH,HIGH,HIGH,-,N/A,Benchy,2.0,N/A,2.0,2.5,2.5,8.9,2.4,2.5
Votem,VAST,Ethereum,ERC20,N/A,N/A,N/A,N/A,VERY HIGH,MEDIUM,MEDIUM,VERY HIGH,VERY LOW,7,N/A,N/A,10,N/A,N/A,2.2,6.0,3.3,N/A
VR MED,VRMD,N/A,N/A,N/A,5000000 USD,1000000 USD,Unknown,MEDIUM,VERY LOW,VERY LOW,-,-,N/A,Benchy,5.0,N/A,4.0,5.0,3.2,7.9,-,3.2
ONSTELLAR,ONST,Ethereum,ERC20,Cayman Islands,N/A,N/A,N/A,VERY HIGH,LOW,LOW,VERY HIGH,VERY LOW,8,Benchy,N/A,10,N/A,N/A,2.7,7.7,-,2.7
Decentralend,DLD,Ethereum,ERC20,UAE,N/A,N/A,N/A,-,VERY LOW,VERY LOW,-,VERY LOW,5,N/A,N/A,1,N/A,N/A,2.1,4.2,-,N/A
Save Environment Token,SET,N/A,N/A,N/A,N/A,"5,000,000",Unknown,-,VERY HIGH,VERY HIGH,LOW,LOW,N/A,Benchy,4.0,N/A,4.0,4.6,3.4,8.6,-,3.4
CrowdPrecision,,Ethereum,ERC20,Singapore,30000 ETH,7500 ETH,N/A,LOW,VERY LOW,VERY LOW,LOW,-,5,Benchy,5.0,10,2.0,4.0,3.4,7.7,-,3.4
eHealth First (EHF),EHF,N/A,N/A,N/A,N/A,N/A,N/A,HIGH,LOW,LOW,LOW,VERY LOW,N/A,N/A,N/A,N/A,N/A,N/A,3.4,7.4,4.2,N/A
ESR Wallet,ESR,N/A,N/A,N/A,N/A,N/A,2749104 USD,HIGH,-,-,-,-,N/A,Benchy,N/A,N/A,N/A,N/A,-,-,-,3.0
eHealth First (EHF),EHF,N/A,N/A,N/A,N/A,N/A,N/A,HIGH,LOW,LOW,LOW,VERY LOW,N/A,N/A,N/A,N/A,N/A,N/A,3.4,7.4,4.2,N/A
PLACTAL,PLT,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A
Jaeven DEP Project,DEP,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,VERY LOW,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A
MoxyOne ICO,SPEND,N/A,N/A,N/A,N/A,N/A,N/A,-,HIGH,HIGH,-,VERY HIGH,N/A,N/A,N/A,N/A,N/A,N/A,3.1,9.3,4.1,N/A
TITANIUM,BAR,N/A,N/A,UK,N/A,N/A,N/A,VERY HIGH,VERY HIGH,VERY HIGH,-,-,7,N/A,N/A,9,N/A,N/A,-,-,-,N/A
MINER ONE,MIO,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,VERY LOW,N/A,N/A,N/A,N/A,N/A,N/A,3.5,9.1,3.6,N/A
Seele,,N/A,N/A,N/A,N/A,N/A,N/A,-,VERY LOW,VERY LOW,VERY LOW,MEDIUM,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A
Monaco Estate ICO,MEST,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,LOW,-,N/A,N/A,N/A,N/A,N/A,N/A,3.7,7.4,3.3,N/A
HybridBlock,HYB,N/A,N/A,N/A,50000000 USD,N/A,47830000 USD,-,MEDIUM,MEDIUM,VERY HIGH,MEDIUM,N/A,Benchy,5.0,N/A,4.7,4.7,-,-,-,4.2
Goldiam,GOL,Ethereum,ERC20,"Serbia, France",17000 ETH,2000 ETH,Unknown,MEDIUM,-,-,-,-,10,Benchy,4.0,10,4.0,4.0,3.5,9.0,-,3.5
SPINDLE,SPD,N/A,N/A,N/A,1581000 ETH,60000 ETH,Unknown,-,VERY HIGH,VERY HIGH,HIGH,MEDIUM,N/A,Benchy,4.1,N/A,3.4,3.8,-,-,-,3.7
MoxyOne ICO,SPEND,N/A,N/A,N/A,N/A,N/A,N/A,-,HIGH,HIGH,-,VERY HIGH,N/A,N/A,N/A,N/A,N/A,N/A,3.1,9.3,4.1,N/A
Monaco Estate ICO,MEST,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,LOW,-,N/A,N/A,N/A,N/A,N/A,N/A,3.7,7.4,3.3,N/A
HybridBlock,HYB,N/A,N/A,N/A,50000000 USD,N/A,47830000 USD,-,MEDIUM,MEDIUM,VERY HIGH,MEDIUM,N/A,Benchy,5.0,N/A,4.7,4.7,-,-,-,4.2
Goldiam,GOL,Ethereum,ERC20,"Serbia, France",17000 ETH,2000 ETH,Unknown,MEDIUM,-,-,-,-,10,Benchy,4.0,10,4.0,4.0,3.5,9.0,-,3.5
ALLCHAIN,AIA,N/A,N/A,N/A,N/A,N/A,Unknown,-,LOW,LOW,-,-,N/A,Benchy,2.0,N/A,2.0,2.0,2.5,7.0,-,2.5
PlayBets ICO,PLT,N/A,N/A,N/A,N/A,N/A,N/A,VERY HIGH,LOW,LOW,VERY HIGH,VERY LOW,N/A,N/A,N/A,N/A,N/A,N/A,3.5,8.1,4.2,N/A
Trademindx ICO,TMX,N/A,N/A,N/A,N/A,N/A,N/A,-,VERY LOW,VERY LOW,VERY LOW,-,N/A,N/A,N/A,N/A,N/A,N/A,2.1,6.0,3.2,N/A
blue-stellar ICO,BLS,N/A,N/A,N/A,N/A,N/A,N/A,-,VERY LOW,VERY LOW,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A
Payiza,PYZ,Ethereum,ERC20,India,22500000 USD,2000000 USD,Unknown,-,-,-,MEDIUM,-,7,Benchy,N/A,9,N/A,N/A,3.0,7.9,-,3.0
WeAre Ecosystem ICO,WAE,N/A,N/A,N/A,N/A,N/A,N/A,-,VERY LOW,VERY LOW,-,-,N/A,N/A,N/A,N/A,N/A,N/A,3.4,6.5,2.9,N/A
Talenthon ICO,TCOIN,N/A,N/A,N/A,N/A,N/A,N/A,-,VERY LOW,VERY LOW,-,-,N/A,N/A,N/A,N/A,N/A,N/A,3.6,8.3,3.5,N/A
OneToTwo,OTTP,Ethereum,ERC20,Russian Federation,N/A,N/A,N/A,-,VERY LOW,VERY LOW,-,-,3,N/A,N/A,10,N/A,N/A,2.6,6.7,-,N/A
WeAre Ecosystem ICO,WAE,N/A,N/A,N/A,N/A,N/A,N/A,-,VERY LOW,VERY LOW,-,-,N/A,N/A,N/A,N/A,N/A,N/A,3.4,6.5,2.9,N/A
ALMBank (PreICO),AALM,N/A,N/A,N/A,N/A,N/A,N/A,VERY HIGH,-,-,VERY HIGH,-,N/A,N/A,N/A,N/A,N/A,N/A,3.1,7.9,3.8,N/A
Talenthon ICO,TCOIN,N/A,N/A,N/A,N/A,N/A,N/A,-,VERY LOW,VERY LOW,-,-,N/A,N/A,N/A,N/A,N/A,N/A,3.6,8.3,3.5,N/A
OneToTwo,OTTP,Ethereum,ERC20,Russian Federation,N/A,N/A,N/A,-,VERY LOW,VERY LOW,-,-,3,N/A,N/A,10,N/A,N/A,2.6,6.7,-,N/A
EtherAce,ACED,Ethereum,ERC20,Switzerland,N/A,N/A,N/A,VERY HIGH,-,-,VERY HIGH,VERY LOW,2,N/A,N/A,1,N/A,N/A,2.3,4.4,-,N/A
Bitproperty,,N/A,N/A,N/A,N/A,N/A,N/A,VERY LOW,LOW,LOW,-,-,N/A,N/A,N/A,N/A,N/A,N/A,2.8,7.7,3.4,N/A
LaLa World,LALA,N/A,N/A,N/A,15000 ETH,N/A,20000000 USD,VERY HIGH,-,-,-,LOW,N/A,Benchy,3.6,N/A,3.6,3.6,-,-,-,3.2
BitRent,,Ethereum,ERC20,UK,100000 ETH,3500 ETH,14627210 USD,VERY HIGH,MEDIUM,MEDIUM,-,LOW,7,Benchy,3.0,8.1,3.1,4.2,-,-,-,3.4
Retainly ICO,RETN,N/A,N/A,N/A,N/A,N/A,N/A,VERY HIGH,HIGH,HIGH,-,-,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A
Crypto Hunt ICO,CH,N/A,N/A,N/A,N/A,N/A,N/A,HIGH,-,-,HIGH,-,N/A,N/A,N/A,N/A,N/A,N/A,2.9,8.4,4.2,N/A
Geekzcode,GUT,Ethereum,ERC20,UK,N/A,N/A,Unknown,-,-,-,-,-,2,Benchy,N/A,1,N/A,N/A,-,-,-,2.4
autorize,ATR,Ethereum,ERC20,Slovenia,20432492 USD,5000000 USD,N/A,-,LOW,LOW,VERY LOW,-,7,Benchy,3.9,10,4.2,4.6,3.4,7.9,-,3.4
Articlex,ARTX,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,MEDIUM,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A
BEAT ICO,BEAT,N/A,N/A,N/A,N/A,N/A,N/A,VERY LOW,LOW,LOW,VERY LOW,MEDIUM,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A
