ico_name,ticker,platform,token,country,hardcap,softcap,raised,bounty_status,activy_status,twitter_status,bitcointalk_status,telegram_status,social_rating,profile_rating,team_rating_ib,team_rating_im,product_rating,vision_rating,icobench_rating,icomarks_rating,icobazaar_rating,aggregate_rating
Accounting Blockchain,,N/A,N/A,N/A,64400000 USD,4000000 USD,4000000 USD,LOW,VERY HIGH,VERY HIGH,LOW,MEDIUM,N/A,Benchy,2.0,N/A,1.0,3.0,3.0,9.3,-,3.0
OutoftheCloud ICO,OUT,N/A,N/A,N/A,50000000 USD,10000000 USD,Unknown,VERY HIGH,LOW,LOW,VERY HIGH,-,N/A,Benchy,N/A,N/A,N/A,N/A,3.3,8.6,-,3.3
PECUN,PCO,Ethereum,ERC20,Australia,N/A,N/A,N/A,VERY HIGH,HIGH,HIGH,-,LOW,1,N/A,N/A,1,N/A,N/A,-,-,-,N/A
Kuende,KUE,N/A,N/A,N/A,28980 ETH,4000 ETH,3220823 USD,-,-,-,MEDIUM,MEDIUM,N/A,Benchy,4.5,N/A,3.8,3.7,-,-,-,4.0
Imdex,IMDX,Ethereum,ERC20,Korea,7200 ETH,2000 ETH,1124000 USD,-,MEDIUM,MEDIUM,-,-,7,Benchy,N/A,1,N/A,N/A,2.4,6.1,-,2.4
DIW Token,DIW,N/A,N/A,N/A,28000000 USD,N/A,913551 USD,VERY HIGH,MEDIUM,MEDIUM,VERY HIGH,LOW,N/A,Benchy,4.6,N/A,4.0,4.2,-,-,-,4.2
GRAPEVINE WORLD,GVINE,N/A,N/A,N/A,N/A,N/A,N/A,MEDIUM,MEDIUM,MEDIUM,-,VERY LOW,N/A,N/A,N/A,N/A,N/A,N/A,3.9,9.3,-,N/A
DICE Money,DICET,N/A,N/A,N/A,N/A,N/A,1465856 USD,VERY HIGH,-,-,-,LOW,N/A,Benchy,4.2,N/A,4.3,4.5,4.2,9.1,-,4.2
Doctor Smart ICO,DSTT,N/A,N/A,N/A,N/A,N/A,N/A,-,VERY LOW,VERY LOW,-,VERY LOW,N/A,N/A,N/A,N/A,N/A,N/A,2.8,8.6,-,N/A
CyClean,CCL,N/A,N/A,N/A,106000 ETH,50000 ETH,1060000 USD,VERY HIGH,-,-,VERY HIGH,-,N/A,Benchy,4.5,N/A,4.2,4.4,-,-,-,4.3
Alive Casino,AL,N/A,N/A,N/A,6000000 USD,1000000 USD,162000 USD,VERY LOW,VERY HIGH,VERY HIGH,VERY LOW,LOW,N/A,Benchy,2.7,N/A,3.0,2.3,3.4,9.3,-,3.4
Imdex,IMDX,Ethereum,ERC20,Korea,7200 ETH,2000 ETH,1124000 USD,-,MEDIUM,MEDIUM,-,-,7,Benchy,N/A,1,N/A,N/A,2.4,6.1,-,2.4
SmartContainers (SMARC/LOGI),SMARC,N/A,N/A,N/A,N/A,N/A,N/A,HIGH,LOW,LOW,HIGH,-,N/A,N/A,N/A,N/A,N/A,N/A,4.1,8.1,-,N/A
TOKPIE,TKP,Ethereum,ERC20,Hong Kong,25000 ETH,500 ETH,Unknown,VERY HIGH,MEDIUM,MEDIUM,HIGH,VERY HIGH,9,Benchy,3.3,10,4.2,4.3,-,-,-,4.0
VU (Virtual Universe),VU,N/A,N/A,N/A,N/A,N/A,N/A,VERY LOW,HIGH,HIGH,VERY LOW,-,N/A,N/A,N/A,N/A,N/A,N/A,3.2,9.1,2.6,N/A
Opu Labs,OPU,N/A,N/A,N/A,20000000 USD,2000000 USD,2000000 USD,VERY HIGH,VERY HIGH,VERY HIGH,VERY HIGH,MEDIUM,N/A,Benchy,4.0,N/A,3.3,4.0,3.8,9.6,-,3.8
ICOVO,OVO,Ethereum,ERC20/ERC223,Switzerland,60360 ETH,5868 ETH,803390 USD,-,HIGH,HIGH,LOW,LOW,10,Benchy,3.8,10,3.6,3.9,-,-,-,3.8
SafeCrypt,SFC,Ethereum,ERC20,Latvia,N/A,N/A,Unknown,VERY HIGH,-,-,VERY HIGH,-,7,Benchy,4.4,8,4.3,4.5,4.3,7.3,4.6,4.3
OSA Decentralized,OSA,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,HIGH,-,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A
GENEXI,,Ethereum,ERC20,Singapore,70000000 USD,20000000 USD,37000000 USD,-,-,-,MEDIUM,-,8,Benchy,4.8,8,4.4,4.6,-,-,-,4.3
ICOVO,OVO,Ethereum,ERC20/ERC223,Switzerland,60360 ETH,5868 ETH,803390 USD,-,HIGH,HIGH,LOW,LOW,10,Benchy,3.8,10,3.6,3.9,-,-,-,3.8
Trade.io,TIOX,N/A,N/A,N/A,N/A,N/A,31000000 USD,HIGH,-,-,-,MEDIUM,N/A,Benchy,4.8,N/A,3.9,4.1,-,-,-,3.8
Streamity ICO,STM,N/A,N/A,N/A,N/A,N/A,N/A,HIGH,HIGH,HIGH,-,-,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A
The Deal Coin ICO,DLSD,N/A,N/A,N/A,N/A,N/A,N/A,VERY HIGH,HIGH,HIGH,VERY HIGH,-,N/A,N/A,N/A,N/A,N/A,N/A,2.9,8.1,-,N/A
Eternal Trusts,,N/A,N/A,N/A,27000000 USD,7000000 USD,6195576 USD,VERY HIGH,MEDIUM,MEDIUM,MEDIUM,VERY LOW,N/A,Benchy,4.6,N/A,4.5,4.6,4.5,8.8,-,4.5
Pool of Stake,PSK,N/A,N/A,N/A,"8,000,000 EUR","2,000,000 EUR",2320000 USD,VERY HIGH,LOW,LOW,VERY HIGH,VERY LOW,N/A,Benchy,4.4,N/A,4.3,4.7,4.3,8.8,-,4.3
IDM,IDM,Ethereum,ERC20,Costa Rica,27000000 USD,3000000 USD,Unknown,VERY HIGH,VERY LOW,VERY LOW,MEDIUM,VERY LOW,7,Benchy,4.4,9,4.4,4.9,4.3,6.3,-,4.3
